query,query_type,drug,severity_filter,ground_truth,num_results
List moderate adverse events of doxorubicin,severity_filtered,doxorubicin,moderate,"['upper respiratory tract infection', 'hypermagnesaemia', 'scrotal erythema', 'neutropenia', 'oedema peripheral', 'hypokinesia', 'renal failure acute', 'keratitis', 'anuria', 'eructation', 'gastrointestinal haemorrhage', 'tooth abscess', 'gait disturbance', 'other conjunctivitis', 'hypolipidaemia', 'pericardial effusion', 'faecaloma', 'hypocalcaemia', 'proctitis', 'hydronephrosis', 'tumour necrosis', 'salivary hypersecretion', 'sweating', 'hepatosplenomegaly', 'influenza like illness', 'hypertension', 'peripheral sensory neuropathy', 'dysgeusia', 'bilirubin total increased', 'bladder stenosis', 'ventricular dysfunction', 'hemiplegia', 'lung disorder', 'ill-defined disorder', 'eruption', 'serum creatinine increased', 'flushing', 'left ventricular ejection fraction decreased', 'urine analysis abnormal', 'vasodilation procedure', 'oesophageal ulcer', 'abnormal vision', 'thinking abnormal', 'infestation nos', 'secondary infection', 'febrile neutropenia', 'ageusia', 'agitation', 'thrombocytopenia', 'hypoproteinaemia', 'lactic acidosis', 'palpitations', 'abscess periodontal', 'aplastic anaemia', 'supraventricular extrasystoles', 'prothrombin level increased', 'bullous eruption', 'dyspepsia', 'sinusitis', 'malnutrition', 'mood swings', 'local reaction', 'blood and lymphatic system disorders', 'rhinitis', 'liver injury', 'ileus', 'pain', 'myeloid leukaemia', 'lymphoedema', 'bundle branch block', 'skin ulcer', 'sepsis', 'infestation', 'dysarthria', 'myocarditis', 'oral pain', 'cough', 'eczema', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'tinnitus', 'palmar-plantar erythrodysaesthesia syndrome', 'skin scaly', 'gingivitis', 'eye disorder', 'flatulence', 'metastatic disease', 'hyperkalaemia', 'vasodilation', 'decreased appetite', 'oral candidiasis', 'red blood cell abnormality', 'immune status', 'immunodeficiency', 'transaminases increased', 'tension', 'myelodysplasia', 'hypertonia', 'laryngitis', 'hypochromic anaemia', 'psoriasis', 'pseudolymphoma', 'necrotising colitis', 'hyperlipidaemia', 'alanine aminotransferase increased', 'cerebrovascular accident', 'dyspnoea exertional', 'hyperhidrosis', 'drug eruption', 'viral infection', 'anaemia', 'pleural effusion', 'metastases to liver', 'vaginal infection', 'proctalgia', 'conjunctivitis', 'recall phenomenon', 'hypercalcaemia', 'inflammation', 'heart disease congenital', 'fungal skin infection', 'muscular weakness', 'malaise', 'dermatitis contact', 'convulsion', 'cardiac failure congestive', 'septicemia', 'radiation recall reaction (dermatologic)', 'hypomagnesaemia', 'effusion', 'cyst', 'acute myeloid leukaemia', 'gastric ulcer', 'red blood cell disorders', 'injection site reaction', 'melaena', 'musculoskeletal discomfort', 'blood disorder', 'jaundice', 'amblyopia', 'blood urea increased', 'dyspnoea', 'acute cardiac toxicity', 'enlargement abdomen', 'skin exfoliation', 'hyponatraemia', 'photosensitivity', 'oliguria', 'leukaemia', 'oesophagitis', 'dermatitis exfoliative', 'hyperventilation', 'lymphopenia', 'liver function test abnormal', 'vascular purpura', 'blood creatinine increased', 'nocturia', 'bone pain', 'ejection fraction decreased', 'face oedema', 'opportunistic infection', 'glossitis', 'necrosis', 'drowsiness', 'muscle spasms', 'confusional state', 'muscle relaxant therapy', 'hyporeflexia', 'nasopharyngitis', 'delirium', 'onycholysis', 'erythema', 'leukoplakia oral', 'scotoma', 'lymphadenopathy', 'myelodysplastic syndrome', 'mucous membrane disorder', 'mouth ulceration', 'drug hypersensitivity', 'feeling hot', 'pollakiuria', 'abnormal dreams', 'hand and foot syndrome secondary to sickle cell anaemia', 'cardiomyopathy', 'blister', 'haematemesis', 'hyperglycaemia', 'cellulitis', 'retrosternal pain', 'candida infection', 'angiopathy', 'leg edema', 'haemoglobin', 'haematuria', 'hepatic cancer metastatic', 'herpes labialis', 'leukopenia', 'urethral obstruction', 'pigmentation disorder', 'myalgia', 'mastitis', 'skin candida', 'cryptococcosis', 'thromboembolism', 'chemical cystitis', 'hyperuricaemia', 'drug interaction', 'ulcerative stomatitis', 'hypochloraemia', 'thrombophlebitis', 'bladder pain', 'weight decreased', 'ketosis', 'skin nodule', 'warmth', 'breast pain', 'lacrimation increased', 'polyp', 'hepatic function abnormal', 'oligospermia', 'pain in extremity', 'hyperbilirubinaemia', 'kidney function abnormal', 'balanitis', 'furuncle', 'prostatic disorder', 'aphthous stomatitis', 'blindness', 'lacrimation', 'blood lactate dehydrogenase increased', 'ecchymosis', 'herpes simplex', 'caecitis', 'eye pain', 'fungal infection', 'pneumonia', 'cough increased', 'hepatic failure', 'oral neoplasm', 'nystagmus', 'urethral disorder', 'electrocardiogram st segment depression', 'cystitis noninfective', 'photosensitivity reaction', 'dry skin', 'anorectal disorder', 'osteoarthritis', 'erythema nodosum', 'penicillin allergy', 'heart malformation', 'pharyngitis', 'gravitational oedema', 'dermatitis bullous', 'bone disorder', 'feeling abnormal', 'pneumocystis jirovecii pneumonia', 'injection site haemorrhage', 'tachyarrhythmia', 'leukemia secondary', 'ascites', 'azoospermia', 'ventricular extrasystoles', 'peripheral motor neuropathy', 'renal failure', 'venous thromboembolism', 'hypersensitivity', 'optic neuritis', 'menopausal symptoms', 'dysphonia', 'septic shock', 'seborrhoeic dermatitis', 'breast disorder', 'diplopia', 'embolism', 'pulmonary embolism', 'ovarian cancer', 'weight increased', 'stinging', 'cachexia', 'hypoaesthesia', 'lymphangitis', 'faecalith', 'chills', 'leukoderma', 'gastrointestinal disorder', 'vaginal haemorrhage', 'aspartate aminotransferase increased', 'nervousness', 'oedema genital', 'cholangitis sclerosing', 'jaundice cholestatic', 'embolism venous', 'pancytopenia', 'body temperature increased', 'thrombosis', 'cardiac disorder', 'gingival bleeding', 'qrs voltage decreased', 'alopecia reversible', 'arthralgia', 'eosinophilia', 'dermatitis atopic', 'skin discolouration', 'neuralgia', 'immunology test', 'skin disorder', 'anorectal discomfort', 'hepatomegaly', 'angina pectoris', 'lactic dehydrogenase activity increased', 'visual impairment', 'myasthenia', 'renal impairment', 'mucosal inflammation', 'serum bilirubin increased', 'nail disorder', 'dysphagia', 'haematochezia', 'proctitis ulcerative', 'ocular toxicity', 'anxiety', 'gastritis erosive', 'somnolence', 'urine abnormality', 'paraesthesia', 'atrioventricular block', 'ulcer', 'embolism arterial', 'arthropathy', 'purpura', 'retinitis', 'gallop rhythm', 'abdominal distension', 'injection site infection', 'urine output', 'neuropathy peripheral', 'haemorrhage', 'epistaxis', 'urinary tract disorder', 'acute lymphocytic leukaemia', 'albuminuria', 'fluid retention', 'electrocardiogram qrs complex abnormal', 'hypokalaemia', 'myelosuppression', 'mediastinal disorder', 'immune system disorder', 'hypothermia', 'pelvic pain', 'musculoskeletal chest pain', 'congestive cardiomyopathy', 'oedema', 'pneumothorax', 'parosmia', 'cramps of lower extremities', 'urticaria', 'myositis', 'rectal haemorrhage', 'hyperaesthesia', 'phlebosclerosis', 'vulvovaginal mycotic infection', 'syncope', 'amenorrhoea', 'connective tissue disorder', 'back pain', 'rectal tenesmus', 'musculoskeletal pain', 'laboratory test abnormal', 'neutropenic sepsis', 'neurotoxicity', 'gastric erosions', 'bronchitis', 'polyneuropathy', 'skin mass', 'abdominal pain', 'abdominal pain upper', 'folliculitis', 'tumour lysis syndrome', 'dry eye', 'cardiac failure', 'dermatitis', 'injection site pain', 'loss of consciousness', 'dyskinesia', 'anorexia', 'glycosuria', 'pulmonary oedema', 'ataxia', 'metastatic neoplasm', 'dehydration', 'hypotonia', 'neuropathy', 'hepatocellular injury', 'cardiovascular disorder', 'vision blurred', 'gastrointestinal pain', 'diarrhoea haemorrhagic', 'leukorrhea', 'mental disorder', 'rigors', 'affect lability', 'vertigo', 'cardiomegaly', 'hyperphosphataemia', 'coordination abnormal', 'hepatobiliary disease', 'lethargy', 'rectal disorder', 'oral herpes', 'diabetes mellitus', 'ventricular arrhythmia', 'blood uric acid increased', 'asthenia', 'heart sounds abnormal', 'hypophosphataemia', 'abscess', 'hepatitis', 'pericarditis', 'redness', 'skin hyperpigmentation', 'mental disability', 'thrombocytosis', 'radiation injury', 'creatinine increased', 'hypernatraemia', 'orthostatic hypotension', 'dysaesthesia', 'cystitis', 'vulvovaginal candidiasis', 'sensitisation', 'arrhythmia', 'multi-organ failure', 'hiccups', 'blood thromboplastin decreased', 'hypotension', 'herpes zoster', 'infection', 'abnormal pigmentation', 'skin necrosis', 'colitis', 'influenza', 'peripheral vascular disorder', 'urinary tract infection', 'acral erythema', 'body temperature decreased', 'hypoglycaemia', 'gastrointestinal toxicity', 'otitis media', 'toxoplasmosis', 'thromboplastin decreased', 'petechiae', 'chest pain', 'vaginal discharge', 'venous thrombosis', 'bladder constriction', 'ureteric obstruction', 'neuritis', 'alopecia', 'injection site inflammation', 'neoplasm malignant', 'nervous system disorder', 'blood alkaline phosphatase increased', 'phlebitis', 'vomiting', 'increased appetite', 'shock', 'vaginal moniliasis', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'neoplasm', 'phosphatase alkaline increased', 'dysuria', 'bone marrow depression', 'premature menopause', 'cardiogenic shock', 'asthma', 'gastritis', 'blood bilirubin increased', 'furunculosis', 'extravasation', 'migraine', 'vaginal inflammation', 'acute leukaemia', 'discomfort', 'hot flush', 'burning sensation', 'haemoptysis', 'cystitis haemorrhagic', 'generalised oedema', 'diarrhoea', 'testicular disorder']",492
Show mild moderate reactions to doxorubicin,severity_filtered,doxorubicin,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'sinus tachycardia', 'tachycardia']",4
List mild adverse events of doxorubicin,severity_filtered,doxorubicin,mild,"['dizziness', 'pruritus', 'headache', 'rash erythematous', 'fatigue', 'vesiculobullous rash', 'rash papular', 'constipation', 'rash', 'rash maculo-papular', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",14
Find all life threatening toxicities of homatropine,severity_filtered,homatropine,life_threatening,['glaucoma'],1
Show severe reactions to homatropine,severity_filtered,homatropine,severe,['spastic paralysis'],1
What moderate side effects does homatropine cause?,severity_filtered,homatropine,moderate,"['heart rate irregular', 'eye oedema', 'hypotension', 'urinary retention', 'retrograde amnesia', 'vasodilation procedure', 'hyperpyrexia', 'psychotic disorder', 'pulse irregular', 'ataxic gait', 'ocular hyperaemia', 'drowsiness', 'photophobia', 'body temperature increased', 'follicular conjunctivitis', 'oedema', 'confusional state', 'dermatitis', 'eczema', 'cardiac disorder', 'hyperkinesia', 'agitation', 'pulmonary function test decreased', 'respiratory depression', 'thirst', 'disorientation', 'somnolence', 'stinging', 'endophthalmitis', 'eye discharge', 'mental aberration', 'conjunctivitis', 'drug effect prolonged', 'ataxia', 'eye disorder', 'anhidrosis', 'feeling abnormal', 'abdominal distension', 'trisomy 21', 'brain injury', 'vasodilation', 'bladder distension', 'bladder dilatation', 'vision blurred', 'hallucination', 'incoherent', 'eye irritation', 'pain', 'flushing', 'convulsion', 'eye pain', 'intraocular pressure increased', 'nervous system disorder', 'mental disorder']",54
Find all mild moderate toxicities of homatropine,severity_filtered,homatropine,mild_moderate,['tachycardia'],1
Find all mild toxicities of homatropine,severity_filtered,homatropine,mild,['rash'],1
Show fatal reactions to eplerenone,severity_filtered,eplerenone,fatal,['sudden death'],1
Find all life threatening toxicities of eplerenone,severity_filtered,eplerenone,life_threatening,['gynaecomastia'],1
Find all severe toxicities of eplerenone,severity_filtered,eplerenone,severe,['myocardial infarction'],1
List moderate adverse events of eplerenone,severity_filtered,eplerenone,moderate,"['upper respiratory tract infection', 'oedema peripheral', 'depression', 'red blood cell disorders', 'dermatitis', 'musculoskeletal discomfort', 'loss of consciousness', 'blood urea increased', 'hypoaesthesia', 'angioedema', 'pulmonary oedema', 'blood triglycerides increased', 'dyspnoea', 'influenza like illness', 'dehydration', 'acute coronary syndrome', 'gastrointestinal disorder', 'endocrine disorder', 'serum potassium increased', 'hyponatraemia', 'vaginal haemorrhage', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'cardiovascular disorder', 'ill-defined disorder', 'serum creatinine increased', 'gastrointestinal pain', 'blood creatinine increased', 'flushing', 'mental disorder', 'urine analysis abnormal', 'angina unstable', 'hepatobiliary disease', 'infestation nos', 'body temperature increased', 'left ventricular failure', 'muscle spasms', 'cardiac disorder', 'diabetes mellitus', 'gastrooesophageal reflux disease', 'ventricular arrhythmia', 'blood uric acid increased', 'asthenia', 'arthralgia', 'eosinophilia', 'dyspepsia', 'cholecystitis', 'creatinine increased', 'hyperglycaemia', 'malnutrition', 'orthostatic hypotension', 'skin disorder', 'angiopathy', 'haematuria', 'blood and lymphatic system disorders', 'angina pectoris', 'pain', 'prothrombin level decreased', 'myalgia', 'hypotension', 'hyperuricaemia', 'renal impairment', 'infestation', 'infection', 'cough', 'function kidney decreased', 'epidermal growth factor receptor decreased', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'tinnitus', 'breast pain', 'urine abnormality', 'blood potassium increased', 'flatulence', 'hyperbilirubinaemia', 'kidney function abnormal', 'autonomic neuropathy', 'hypertriglyceridaemia', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'neuropathy peripheral', 'libido decreased', 'urinary tract disorder', 'chest pain', 'cerebrovascular disorder', 'albuminuria', 'protein urine present', 'nervous system disorder', 'pneumonia', 'vomiting', 'hypokalaemia', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'mediastinal disorder', 'cholesterol serum elevated', 'hyperhidrosis', 'creatine phosphokinase increased', 'coronary artery disease', 'electrocardiogram abnormal', 'anaemia', 'blood glucose increased', 'pharyngitis', 'hypercholesterolaemia', 'unspecified disorder of autonomic nervous system', 'blood cholesterol increased', 'feeling abnormal', 'influenza-like symptoms', 'discomfort', 'serum triglycerides increased', 'syncope', 'menstrual disorder', 'hypothyroidism', 'connective tissue disorder', 'back pain', 'musculoskeletal pain', 'disturbance in sexual arousal', 'bronchitis', 'malaise', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain']",123
List mild moderate adverse events of eplerenone,severity_filtered,eplerenone,mild_moderate,"['proteinuria', 'ventricular tachycardia']",2
What mild side effects does eplerenone cause?,severity_filtered,eplerenone,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'insomnia']",8
List fatal adverse events of doxepin,severity_filtered,doxepin,fatal,['cardiac death'],1
Find all life threatening toxicities of doxepin,severity_filtered,doxepin,life_threatening,"['glaucoma', 'gynaecomastia']",2
What severe side effects does doxepin cause?,severity_filtered,doxepin,severe,['sleep paralysis'],1
Show moderate reactions to doxepin,severity_filtered,doxepin,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'hypermagnesaemia', 'menopausal symptoms', 'folliculitis', 'oedema peripheral', 'hearing impaired', 'lung adenocarcinoma stage i', 'breast disorder', 'diplopia', 'cyst', 'gait disturbance', 'presyncope', 'dermatitis', 'tingling sensation', 'musculoskeletal discomfort', 'loss of consciousness', 'weight increased', 'respiratory depression', 'dyskinesia', 'anorexia', 'gingival recession', 'stinging', 'jaundice', 'ventricular extrasystoles', 'hypomania', 'hypoaesthesia', 'chills', 'skin irritation', 'ataxia', 'application site reaction', 'hypoaesthesia oral', 'nasopharyngeal disorder', 'dyspnoea', 'sweating', 'joint sprain', 'rales', 'enuresis', 'hypertension', 'gastrointestinal disorder', 'dysgeusia', 'tympanic membrane perforation', 'lacrimation decreased', 'pharyngolaryngeal pain', 'wheezing', 'ear and labyrinth disorders', 'nervousness', 'sensation of heaviness', 'jaundice cholestatic', 'ill-defined disorder', 'vision blurred', 'motion sickness', 'viral diarrhoea', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'infective tenosynovitis', 'apnoea', 'suicide', 'disturbance in attention', 'nocturia', 'eye infection', 'mental disorder', 'haematoma', 'pancytopenia', 'adenitis', 'blepharospasm', 'testicular swelling', 'qrs axis abnormal', 'erectile dysfunction', 'breast cyst', 'rhinorrhoea', 'lymphadenitis', 'vertigo', 'hyperpyrexia', 'thinking abnormal', 'aggression', 'hepatobiliary disease', 'infestation nos', 'pharyngeal disorder', 'drowsiness', 'body temperature increased', 'lethargy', 'back injury', 'confusional state', 'muscle spasms', 'cardiac disorder', 'adjustment disorder', 'delusion', 'nasopharyngitis', 'cold sweat', 'gastrooesophageal reflux disease', 'agitation', 'erythema', 'ageusia', 'thrombocytopenia', 'haemolytic anaemia', 'asthenia', 'palpitations', 'elevated mood', 'skin laceration', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'excitement', 'parotid gland enlargement', 'pollakiuria', 'abnormal dreams', 'mental disability', 'thrombocytosis', 'sinusitis', 'malnutrition', 'ileus paralytic', 'extrapyramidal symptoms', 'drug withdrawal syndrome', 'skin disorder', 'angiopathy', 'aspiration', 'blood and lymphatic system disorders', 'leukopenia', 'cerebration impaired', 'blood pressure increased', 'pain', 'myalgia', 'electrocardiogram st-t segment abnormal', 'aggressive reaction', 'arrhythmia', 'hypotension', 'dysmenorrhoea', 'urinary retention', 'suicide attempt', 'orofacial dyskinesia', 'infestation', 'herpes zoster', 'cramp muscle', 'psychotic disorder', 'joint range of motion decreased', 'infection', 'ocular hyperaemia', 'numbness of tongue', 'drug fever', 'cough', 'blood pressure inadequately controlled', 'haematochezia', 'eczema', 'influenza', 'allergic contact dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'urinary tract infection', 'anxiety', 'sinus congestion', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'extrapyramidal disorder', 'taste peculiar', 'accommodation disorder', 'somnolence', 'parotid swelling', 'cellulitis staphylococcal', 'lacrimation increased', 'tremor', 'polyp', 'paraesthesia', 'numbness', 'atrioventricular block', 'ear pain', 'eye disorder', 'flatulence', 'purpura', 'pain in extremity', 'galactorrhoea', 'hyperbilirubinaemia', 'hyperkalaemia', 'neuropathy peripheral', 'libido decreased', 'decreased appetite', 'aphthous stomatitis', 'urinary tract disorder', 'petechiae', 'lower respiratory tract infection', 'mydriasis', 'chest pain', 'fracture', 'lacrimation', 'menstruation irregular', 'transaminases increased', 'onychomycosis', 'exacerbation of asthma', 'electrocardiogram change', 'haemoglobinuria', 'alopecia', 'tension', 'eye pain', 'eye redness', 'nervous system disorder', 'fungal infection', 'pneumonia', 'laryngitis', 'vomiting', 'lip blister', 'increased appetite', 'hypokalaemia', 'urethral disorder', 'electrocardiogram qrs complex abnormal', 'shock', 'alanine aminotransferase increased', 'cerebrovascular accident', 'mediastinal disorder', 'breast enlargement', 'immune system disorder', 'syncope vasovagal', 'stomatitis', 'agranulocytosis', 'nasal congestion', 'hyperhidrosis', 'oedema', 'neoplasm', 'dysuria', 'pallor', 'urticaria', 'bone marrow depression', 'pulmonary function test decreased', 'laryngeal pain', 'viral infection', 'asthma', 'deafness', 'anaemia', 'disorientation', 'blood glucose increased', 'pharyngitis', 'ligament sprain', 'laceration', 'epigastric distress', 'migraine', 'feeling abnormal', 'tooth infection', 'discomfort', 'hot flush', 'neutrophil count decreased', 'syncope', 'withdrawal symptom', 'tardive dyskinesia', 'connective tissue disorder', 'back pain', 'malignant melanoma', 'sensory loss', 'rosacea', 'appetite exaggerated', 'gastroenteritis', 'hallucination', 'disturbance in sexual arousal', 'bronchitis', 'nightmare', 'malaise', 'convulsion', 'completed suicide', 'dermatitis contact', 'diarrhoea', 'paresthesia of limbs', 'abdominal pain', 'multiple fractures']",263
Find all mild moderate toxicities of doxepin,severity_filtered,doxepin,mild_moderate,"['bradycardia', 'tachycardia']",2
Show mild reactions to doxepin,severity_filtered,doxepin,mild,"['dizziness', 'pruritus', 'headache', 'transient insomnia', 'fatigue', 'constipation', 'rash', 'chronic insomnia', 'nausea', 'dry mouth', 'insomnia']",11
Find all life threatening toxicities of methylene,severity_filtered,methylene,life_threatening,['anaphylactic shock'],1
Find all severe toxicities of methylene,severity_filtered,methylene,severe,['cardiac arrest'],1
List moderate adverse events of methylene,severity_filtered,methylene,moderate,"['vomiting', 'hypersensitivity', 'hypotension', 'urethral disorder', 'hypoxia', 'thrombophlebitis', 'mediastinal disorder', 'aphasia', 'mucosal inflammation', 'effusion', 'immune system disorder', 'necrosis', 'body temperature increased', 'hyperhidrosis', 'confusional state', 'dermatitis', 'cardiac disorder', 'dysuria', 'urticaria', 'injection site reaction', 'agitation', 'unspecified disorder of skin and subcutaneous tissue', 'haemolytic anaemia', 'anxiety', 'fat necrosis', 'asthenia', 'digestion impaired', 'tremor', 'extravasation', 'serotonin syndrome', 'haemoglobin decreased', 'glucose-6-phosphate dehydrogenase deficiency', 'chills', 'dyspepsia', 'eye disorder', 'dyspnoea', 'sweating', 'skin discolouration', 'feeling abnormal', 'hyperbilirubinaemia', 'hypertension', 'gastrointestinal disorder', 'mucosal ulceration', 'skin disorder', 'sweating increased', 'angiopathy', 'tachypnoea', 'precordial pain', 'urinary tract disorder', 'arrhythmia', 'blood and lymphatic system disorders', 'macule', 'mydriasis', 'chest pain', 'gastrointestinal pain', 'haemolysis', 'pain', 'diarrhoea', 'nervous system disorder', 'abdominal pain', 'mental disorder', 'pain burning']",62
List mild moderate adverse events of methylene,severity_filtered,methylene,mild_moderate,['tachycardia'],1
List mild adverse events of methylene,severity_filtered,methylene,mild,"['dizziness', 'pruritus', 'headache', 'rash', 'nausea']",5
